"@title","Bahasa Indonesia"
"@language","id -  ID"
"@scale","auto"
"@appli","132 - Do not change"
"@version","1.71 - Do not change"
"@author","Rexy Andriansyah"
"#00000","Kecepatan UP"
"#00001","Akselerasi UP"
"#00002","Hndl UP"
"#00003","Boost UP"
"#00004","Dwn Frce UP"
"#00005","Langsung mulai"
"#00006","Environ UP"
"#00007","Mobil GT"
"#00008","GT"
"#00009","Mobil Sport"
"#00010","Sport"
"#00011","Mobil Balap"
"#00012","Racing"
"#00013","Mobil Rally"
"#00014","Rally"
"#00015","Sedan"
"#00016","Mobil <0> merupakan mobil pemandu wisata 4 pintu. Grand tourers dioptimalkan untuk berkendara jarak jauh, tahan lama, dan memiliki efisiensi bahan bakar yang sangat baik. mobil akan baik-baik saja di medan kasar jika dikendalikan dengan hati-hati."
"#00017","Ant"
"#00018","<0> merupakan kendaraan roda tiga. Sangat ringan dan berakselerasi hebat, namun memiliki stabilitas yang buruk, yang berarti mengambil tingkungan dapat menjadi tantangan tersendiri."
"#00019","Trike"
"#00020","<0> merupakan motor roda tiga. Kombinasi bingkai ringan dan mesin yang kuat membuat mesin dengan akselerasi yang luar biasa."
"#00021","Klasik"
"#00022","Mobil <0> merupakan kendaraan pemandu wisata 5 tempat duduk. Mungkin agak berat tapi berkat mesin perpindahan yang tinggi, bisa mencapai kecepatan yang cukup tinggi. Plus, joknya lebar dan nyaman."
"#00023","Mobil Panda"
"#00024","Panda"
"#00025","<0> pada awalnya merupakan perjalanan di tempat pameran, yang telah dimodifikasi untuk balap sirkuit. Kokoh dan dengan desain yang sangat menarik perhatian."
"#00026","Gangstar"
"#00027","<0> adalah kendaraan modifikasi yang disukai oleh geng sepeda motor. garis pembatas telah dihapus, jadi dengan garis lurus ia dengan mudah meninggalkan kendaraan lain, tapi mengambil sudut hal yang rumit. "
"# 00028", "Mobil Muscle"
"# 00029", "<0> merupakan mobil mewah yang dirancang untuk kalangan eselon masyarakat atas. Luas dan nyaman. Mobil seberat ini tidak terlalu responsif, tapi memang cocok untuk mesin yang bertenaga."
"#00030","Mobil Polisi"
"#00031","<0> seperti yang didengar. Kendaraan polisi yang didesain untuk manuver yang tinggi, giving an advantage when chasing after criminals on the run or navigating the city traffic."
